#	Name	Type 1	Type 2	Total	Total_v2	HP	Attack	Defense	Sp. Atk	Sp. Def	Speed	Generation
1	Bulbasaur	Grass	Poison	318	591	45	49	49	65	65	45	1
2	Ivysaur	Grass	Poison	405	750	60	62	63	80	80	60	1
3	Venusaur	Grass	Poison	525	970	80	82	83	100	100	80	1
3	VenusaurMega Venusaur	Grass	Poison	625	1170	80	100	123	122	120	80	1
4	Charmander	Fire		309	553	39	52	43	60	50	65	1
5	Charmeleon	Fire		405	730	58	64	58	80	65	80	1
6	Charizard	Fire	Flying	534	968	78	84	78	109	85	100	1
6	CharizardMega Charizard X	Fire	Dragon	634	1168	78	130	111	130	85	100	1
6	CharizardMega Charizard Y	Fire	Flying	634	1168	78	104	78	159	115	100	1
7	Squirtle	Water		314	585	44	48	65	50	64	43	1
8	Wartortle	Water		405	752	59	63	80	65	80	58	1
9	Blastoise	Water		530	982	79	83	100	85	105	78	1
9	BlastoiseMega Blastoise	Water		630	1182	79	103	120	135	115	78	1
10	Caterpie	Bug		195	345	45	30	35	20	20	45	1
11	Metapod	Bug		205	380	50	20	55	25	25	30	1
12	Butterfree	Bug	Flying	395	720	60	45	50	90	80	70	1
13	Weedle	Bug	Poison	195	340	40	35	30	20	20	50	1
14	Kakuna	Bug	Poison	205	375	45	25	50	25	25	35	1
15	Beedrill	Bug	Poison	395	715	65	90	40	45	80	75	1
15	BeedrillMega Beedrill	Bug	Poison	495	845	65	150	40	15	80	145	1
16	Pidgey	Normal	Flying	251	446	40	45	40	35	35	56	1
17	Pidgeotto	Normal	Flying	349	627	63	60	55	50	50	71	1
18	Pidgeot	Normal	Flying	479	857	83	80	75	70	70	101	1
18	PidgeotMega Pidgeot	Normal	Flying	579	1037	83	80	80	135	80	121	1
19	Rattata	Normal		253	434	30	56	35	25	35	72	1
20	Raticate	Normal		413	729	55	81	60	50	70	97	1
21	Spearow	Normal	Flying	262	454	40	60	30	31	31	70	1
22	Fearow	Normal	Flying	442	784	65	90	65	61	61	100	1
23	Ekans	Poison		288	521	35	60	44	40	54	55	1
24	Arbok	Poison		438	796	60	85	69	65	79	80	1
25	Pikachu	Electric		320	550	35	55	40	50	50	90	1
26	Raichu	Electric		485	860	60	90	55	90	80	110	1
27	Sandshrew	Ground		300	560	50	75	85	20	30	40	1
28	Sandslash	Ground		450	835	75	100	110	45	55	65	1
29	Nidoran (Female)	Poison		275	509	55	47	52	40	40	41	1
30	Nidorina	Poison		365	674	70	62	67	55	55	56	1
31	Nidoqueen	Poison	Ground	505	934	90	92	87	75	85	76	1
32	Nidoran (Male)	Poison		273	496	46	57	40	40	40	50	1
33	Nidorino	Poison		365	665	61	72	57	55	55	65	1
34	Nidoking	Poison	Ground	505	925	81	102	77	85	75	85	1
35	Clefairy	Fairy		323	611	70	45	48	60	65	35	1
36	Clefable	Fairy		483	906	95	70	73	95	90	60	1
37	Vulpix	Fire		299	533	38	41	40	50	65	65	1
38	Ninetales	Fire		505	910	73	76	75	81	100	100	1
39	Jigglypuff	Normal	Fairy	270	520	115	45	20	45	25	20	1
40	Wigglytuff	Normal	Fairy	435	825	140	70	45	85	50	45	1
41	Zubat	Poison	Flying	245	435	40	45	35	30	40	55	1
42	Golbat	Poison	Flying	455	820	75	80	70	65	75	90	1
43	Oddish	Grass	Poison	320	610	45	50	55	75	65	30	1
44	Gloom	Grass	Poison	395	750	60	65	70	85	75	40	1
45	Vileplume	Grass	Poison	490	930	75	80	85	110	90	50	1
46	Paras	Bug	Grass	285	545	35	70	55	45	55	25	1
47	Parasect	Bug	Grass	405	780	60	95	80	60	80	30	1
48	Venonat	Bug	Poison	305	565	60	55	50	40	55	45	1
49	Venomoth	Bug	Poison	450	810	70	65	60	90	75	90	1
50	Diglett	Ground		265	435	10	55	25	35	45	95	1
51	Dugtrio	Ground		405	690	35	80	50	50	70	120	1
52	Meowth	Normal		290	490	40	45	35	40	40	90	1
53	Persian	Normal		440	765	65	70	60	65	65	115	1
54	Psyduck	Water		320	585	50	52	48	65	50	55	1
55	Golduck	Water		500	915	80	82	78	95	80	85	1
56	Mankey	Fighting		305	540	40	80	35	35	45	70	1
57	Primeape	Fighting		455	815	65	105	60	60	70	95	1
58	Growlithe	Fire		350	640	55	70	45	70	50	60	1
59	Arcanine	Fire		555	1015	90	110	80	100	80	95	1
60	Poliwag	Water		300	510	40	50	40	40	40	90	1
61	Poliwhirl	Water		385	680	65	65	65	50	50	90	1
62	Poliwrath	Water	Fighting	510	950	90	95	95	70	90	70	1
63	Abra	Psychic		310	530	25	20	15	105	55	90	1
64	Kadabra	Psychic		400	695	40	35	30	120	70	105	1
65	Alakazam	Psychic		500	880	55	50	45	135	95	120	1
65	AlakazamMega Alakazam	Psychic		590	1030	55	50	65	175	95	150	1
66	Machop	Fighting		305	575	70	80	50	35	35	35	1
67	Machoke	Fighting		405	765	80	100	70	50	60	45	1
68	Machamp	Fighting		505	955	90	130	80	65	85	55	1
69	Bellsprout	Grass	Poison	300	560	50	75	35	70	30	40	1
70	Weepinbell	Grass	Poison	390	725	65	90	50	85	45	55	1
71	Victreebel	Grass	Poison	490	910	80	105	65	100	70	70	1
72	Tentacool	Water	Poison	335	600	40	40	35	50	100	70	1
73	Tentacruel	Water	Poison	515	930	80	70	65	80	120	100	1
74	Geodude	Rock	Ground	300	580	40	80	100	30	30	20	1
75	Graveler	Rock	Ground	390	745	55	95	115	45	45	35	1
76	Golem	Rock	Ground	495	945	80	120	130	55	65	45	1
77	Ponyta	Fire		410	730	50	85	55	65	65	90	1
78	Rapidash	Fire		500	895	65	100	70	80	80	105	1
79	Slowpoke	Water	Psychic	315	615	90	65	65	40	40	15	1
80	Slowbro	Water	Psychic	490	950	95	75	110	100	80	30	1
80	SlowbroMega Slowbro	Water	Psychic	590	1150	95	75	180	130	80	30	1
81	Magnemite	Electric	Steel	325	605	25	35	70	95	55	45	1
82	Magneton	Electric	Steel	465	860	50	60	95	120	70	70	1
83	Farfetch'd	Normal	Flying	352	644	52	65	55	58	62	60	1
84	Doduo	Normal	Flying	310	545	35	85	45	35	35	75	1
85	Dodrio	Normal	Flying	460	820	60	110	70	60	60	100	1
86	Seel	Water		325	605	65	45	55	45	70	45	1
87	Dewgong	Water	Ice	475	880	90	70	80	70	95	70	1
88	Grimer	Poison		325	625	80	80	50	40	50	25	1
89	Muk	Poison		500	950	105	105	75	65	100	50	1
90	Shellder	Water		305	570	30	65	100	45	25	40	1
91	Cloyster	Water	Ice	525	980	50	95	180	85	45	70	1
92	Gastly	Ghost	Poison	310	540	30	35	30	100	35	80	1
93	Haunter	Ghost	Poison	405	715	45	50	45	115	55	95	1
94	Gengar	Ghost	Poison	500	890	60	65	60	130	75	110	1
94	GengarMega Gengar	Ghost	Poison	600	1070	60	65	80	170	95	130	1
95	Onix	Rock	Ground	385	700	35	45	160	30	45	70	1
96	Drowzee	Psychic		328	614	60	48	45	43	90	42	1
97	Hypno	Psychic		483	899	85	73	70	73	115	67	1
98	Krabby	Water		325	600	30	105	90	25	25	50	1
99	Kingler	Water		475	875	55	130	115	50	50	75	1
100	Voltorb	Electric		330	560	40	30	50	55	55	100	1
101	Electrode	Electric		480	820	60	50	70	80	80	140	1
102	Exeggcute	Grass	Psychic	325	610	60	40	80	60	45	40	1
103	Exeggutor	Grass	Psychic	520	985	95	95	85	125	65	55	1
104	Cubone	Ground		320	605	50	50	95	40	50	35	1
105	Marowak	Ground		425	805	60	80	110	50	80	45	1
106	Hitmonlee	Fighting		455	823	50	120	53	35	110	87	1
107	Hitmonchan	Fighting		455	834	50	105	79	35	110	76	1
108	Lickitung	Normal		385	740	90	55	75	60	75	30	1
109	Koffing	Poison		340	645	40	65	95	60	45	35	1
110	Weezing	Poison		490	920	65	90	120	85	70	60	1
111	Rhyhorn	Ground	Rock	345	665	80	85	95	30	30	25	1
112	Rhydon	Ground	Rock	485	930	105	130	120	45	45	40	1
113	Chansey	Normal		450	850	250	5	5	35	105	50	1
114	Tangela	Grass		435	810	65	55	115	100	40	60	1
115	Kangaskhan	Normal		490	890	105	95	80	40	80	90	1
115	KangaskhanMega Kangaskhan	Normal		590	1080	105	125	100	60	100	100	1
116	Horsea	Water		295	530	30	40	70	70	25	60	1
117	Seadra	Water		440	795	55	65	95	95	45	85	1
118	Goldeen	Water		320	577	45	67	60	35	50	63	1
119	Seaking	Water		450	832	80	92	65	65	80	68	1
120	Staryu	Water		340	595	30	45	55	70	55	85	1
121	Starmie	Water	Psychic	520	925	60	75	85	100	85	115	1
122	Mr. Mime	Psychic	Fairy	460	830	40	45	65	100	120	90	1
123	Scyther	Bug	Flying	500	895	70	110	80	55	80	105	1
124	Jynx	Ice	Psychic	455	815	65	50	35	115	95	95	1
125	Electabuzz	Electric		490	875	65	83	57	95	85	105	1
126	Magmar	Fire		495	897	65	95	57	100	85	93	1
127	Pinsir	Bug		500	915	65	125	100	55	70	85	1
127	PinsirMega Pinsir	Bug	Flying	600	1095	65	155	120	65	90	105	1
128	Tauros	Normal		490	870	75	100	95	40	70	110	1
129	Magikarp	Water		200	320	20	10	55	15	20	80	1
130	Gyarados	Water	Flying	540	999	95	125	79	60	100	81	1
130	GyaradosMega Gyarados	Water	Dark	640	1199	95	155	109	70	130	81	1
131	Lapras	Water	Ice	535	1010	130	85	80	85	95	60	1
132	Ditto	Normal		288	528	48	48	48	48	48	48	1
133	Eevee	Normal		325	595	55	55	50	45	65	55	1
134	Vaporeon	Water		525	985	130	65	60	110	95	65	1
135	Jolteon	Electric		525	920	65	65	60	110	95	130	1
136	Flareon	Fire		525	985	65	130	60	95	110	65	1
137	Porygon	Normal		395	750	65	60	70	85	75	40	1
138	Omanyte	Rock	Water	355	675	35	40	100	90	55	35	1
139	Omastar	Rock	Water	495	935	70	60	125	115	70	55	1
140	Kabuto	Rock	Water	355	655	30	80	90	55	45	55	1
141	Kabutops	Rock	Water	495	910	60	115	105	65	70	80	1
142	Aerodactyl	Rock	Flying	515	900	80	105	65	60	75	130	1
142	AerodactylMega Aerodactyl	Rock	Flying	615	1080	80	135	85	70	95	150	1
143	Snorlax	Normal		540	1050	160	110	65	65	110	30	1
144	Articuno	Ice	Flying	580	1075	90	85	100	95	125	85	1
145	Zapdos	Electric	Flying	580	1060	90	90	85	125	90	100	1
146	Moltres	Fire	Flying	580	1070	90	100	90	125	85	90	1
147	Dratini	Dragon		300	550	41	64	45	50	50	50	1
148	Dragonair	Dragon		420	770	61	84	65	70	70	70	1
149	Dragonite	Dragon	Flying	600	1120	91	134	95	100	100	80	1
150	Mewtwo	Psychic		680	1230	106	110	90	154	90	130	1
150	MewtwoMega Mewtwo X	Psychic	Fighting	780	1430	106	190	100	154	100	130	1
150	MewtwoMega Mewtwo Y	Psychic		780	1420	106	150	70	194	120	140	1
151	Mew	Psychic		600	1100	100	100	100	100	100	100	1
152	Chikorita	Grass		318	591	45	49	65	49	65	45	2
153	Bayleef	Grass		405	750	60	62	80	63	80	60	2
154	Meganium	Grass		525	970	80	82	100	83	100	80	2
155	Cyndaquil	Fire		309	553	39	52	43	60	50	65	2
156	Quilava	Fire		405	730	58	64	58	80	65	80	2
157	Typhlosion	Fire		534	968	78	84	78	109	85	100	2
158	Totodile	Water		314	585	50	65	64	44	48	43	2
159	Croconaw	Water		405	752	65	80	80	59	63	58	2
160	Feraligatr	Water		530	982	85	105	100	79	83	78	2
161	Sentret	Normal		215	410	35	46	34	35	45	20	2
162	Furret	Normal		415	740	85	76	64	45	55	90	2
163	Hoothoot	Normal	Flying	262	474	60	30	30	36	56	50	2
164	Noctowl	Normal	Flying	442	814	100	50	50	76	96	70	2
165	Ledyba	Bug	Flying	265	475	40	20	30	40	80	55	2
166	Ledian	Bug	Flying	390	695	55	35	50	55	110	85	2
167	Spinarak	Bug	Poison	250	470	40	60	40	40	40	30	2
168	Ariados	Bug	Poison	390	740	70	90	70	60	60	40	2
169	Crobat	Poison	Flying	535	940	85	90	80	70	80	130	2
170	Chinchou	Water	Electric	330	593	75	38	38	56	56	67	2
171	Lanturn	Water	Electric	460	853	125	58	58	76	76	67	2
172	Pichu	Electric		205	350	20	40	15	35	35	60	2
173	Cleffa	Fairy		218	421	50	25	28	45	55	15	2
174	Igglybuff	Normal	Fairy	210	405	90	30	15	40	20	15	2
175	Togepi	Fairy		245	470	35	20	65	40	65	20	2
176	Togetic	Fairy	Flying	405	770	55	40	85	80	105	40	2
177	Natu	Psychic	Flying	320	570	40	50	45	70	45	70	2
178	Xatu	Psychic	Flying	470	845	65	75	70	95	70	95	2
179	Mareep	Electric		280	525	55	40	40	65	45	35	2
180	Flaaffy	Electric		365	685	70	55	55	80	60	45	2
181	Ampharos	Electric		510	965	90	75	85	115	90	55	2
181	AmpharosMega Ampharos	Electric	Dragon	610	1175	90	95	105	165	110	45	2
182	Bellossom	Grass		490	930	75	80	95	90	100	50	2
183	Marill	Water	Fairy	250	460	70	20	50	20	50	40	2
184	Azumarill	Water	Fairy	420	790	100	50	80	60	80	50	2
185	Sudowoodo	Rock		410	790	70	100	115	30	65	30	2
186	Politoed	Water		500	930	90	75	75	90	100	70	2
187	Hoppip	Grass	Flying	250	450	35	35	40	35	55	50	2
188	Skiploom	Grass	Flying	340	600	55	45	50	45	65	80	2
189	Jumpluff	Grass	Flying	460	810	75	55	70	55	95	110	2
190	Aipom	Normal		360	635	55	70	55	40	55	85	2
191	Sunkern	Grass		180	330	30	30	30	30	30	30	2
192	Sunflora	Grass		425	820	75	75	55	105	85	30	2
193	Yanma	Bug	Flying	390	685	65	65	45	75	45	95	2
194	Wooper	Water	Ground	210	405	55	45	45	25	25	15	2
195	Quagsire	Water	Ground	430	825	95	85	85	65	65	35	2
196	Espeon	Psychic		525	940	65	65	60	130	95	110	2
197	Umbreon	Dark		525	985	95	65	110	60	130	65	2
198	Murkrow	Dark	Flying	405	719	60	85	42	85	42	91	2
199	Slowking	Water	Psychic	490	950	95	75	80	100	110	30	2
200	Misdreavus	Ghost		435	785	60	60	60	85	85	85	2
201	Unown	Psychic		336	624	48	72	48	72	48	48	2
202	Wobbuffet	Psychic		405	777	190	33	58	33	58	33	2
203	Girafarig	Normal	Psychic	455	825	70	80	65	90	65	85	2
204	Pineco	Bug		290	565	50	65	90	35	35	15	2
205	Forretress	Bug	Steel	465	890	75	90	140	60	60	40	2
206	Dunsparce	Normal		415	785	100	70	70	65	65	45	2
207	Gligar	Ground	Flying	430	775	65	75	105	35	65	85	2
208	Steelix	Steel	Ground	510	990	75	85	200	55	65	30	2
208	SteelixMega Steelix	Steel	Ground	610	1190	75	125	230	55	95	30	2
209	Snubbull	Fairy		300	570	60	80	50	40	40	30	2
